player,wta_rank,original_matches,original_edge,original_edge_rank,bootstrap_edge_mean,bootstrap_edge_median,bootstrap_edge_bias,bootstrap_edge_se,edge_ci_lower,edge_ci_upper,edge_ci_width,bootstrap_rank_median,rank_ci_lower,rank_ci_upper,rank_ci_width,probability_top_10_given_valid,probability_top_20_given_valid,probability_top_10_unconditional,probability_top_20_unconditional,valid_edge_replicates,valid_rank_replicates,availability_rate
Aryna Sabalenka,1,46,0.03214790085160775,1.0,0.0322288165010126,0.03217088277826197,8.091564940485019e-05,0.003060568841707507,0.026393359158952127,0.03830058103522499,0.011907221876272862,2.0,1.0,7.0,6.0,0.9944,0.9998,0.9944,0.9998,5000,5000,1.0
Elena Rybakina,2,127,0.028929403730981,3.0,0.028934845301900065,0.0289412722181673,5.441570919063887e-06,0.001554656654649792,0.025847458074179375,0.03199792469288441,0.006150466618705032,4.0,1.0,8.0,7.0,0.9944,1.0,0.9944,1.0,5000,5000,1.0
Iga Swiatek,3,218,0.02414354770719103,8.0,0.024148140130255923,0.02413694557956504,4.592423064893325e-06,0.0010746590794074036,0.022056369214049996,0.02624413456443108,0.004187765350381085,12.0,6.0,19.0,13.0,0.343,0.9884,0.343,0.9884,5000,5000,1.0
Coco Gauff,4,104,0.01761743079897863,33.0,0.01764390082442331,0.017616481338028775,2.6470025444681744e-05,0.0016578128430523157,0.014459535782856033,0.020951905273756132,0.0064923694909001,34.0,21.0,47.0,26.0,0.0,0.0188,0.0,0.0188,5000,5000,1.0
Jessica Pegula,5,78,0.023128378391434293,13.0,0.023112082220909057,0.023143116831540224,-1.629617052523527e-05,0.0020251254943533213,0.019058827844717484,0.027118981201888635,0.00806015335717115,15.0,6.0,29.0,23.0,0.224,0.8074,0.224,0.8074,5000,5000,1.0
Amanda Anisimova,6,63,0.020859517819023673,21.0,0.020870075556288368,0.020884733980444763,1.0557737264695055e-05,0.002312895186800545,0.0163351241653165,0.025346335865999606,0.009011211700683107,22.0,9.0,39.0,30.0,0.0508,0.4184,0.0508,0.4184,5000,5000,1.0
Elina Svitolina,7,79,0.018314946858412142,29.0,0.018321582120193906,0.01831426672976813,6.635261781764296e-06,0.0016659188902608442,0.015130667657977104,0.02169040785878179,0.006559740200804687,31.0,19.0,45.0,26.0,0.0,0.0416,0.0,0.0416,5000,5000,1.0
Mirra Andreeva,8,113,0.013815882765418123,49.0,0.013830187301460111,0.013833848708806499,1.430453604198828e-05,0.0013126130542931431,0.011243517551415793,0.016427317666760637,0.005183800115344844,49.0,38.0,59.0,21.0,0.0,0.0,0.0,0.0,5000,5000,1.0
Victoria Mboko,9,24,0.01454058637898759,43.0,0.014509262863256947,0.014566504157068737,-3.132351573064372e-05,0.004349970860187835,0.005718945832550126,0.02259988739111717,0.016880941558567043,46.0,16.0,70.0,54.0,0.01,0.0516,0.01,0.0516,5000,5000,1.0
Karolina Muchova,10,60,0.021716487941794628,18.0,0.021733025615339942,0.021755806409544814,1.653767354531377e-05,0.0021731965801343733,0.017386072106503715,0.025947013624833877,0.008560941518330163,19.0,7.0,35.0,28.0,0.09,0.5718,0.09,0.5718,5000,5000,1.0
